transcript_id,13_S31_R1_001.bam.gtf,23_S32_R1_001.bam.gtf,35_S33_R1_001.bam.gtf,52_S34_R1_001.bam.gtf,60_S35_R1_001.bam.gtf,72_S36_R1_001.bam.gtf,85_S37_R1_001.bam.gtf,9_S30_R1_001.bam.gtf
Montipora_capitata_HIv3___RNAseq.g42319.t1,0,0,0,0,0,3,0,0
Montipora_capitata_HIv3___TS.g49315.t1b,0,0,0,5,0,3,10,4
Montipora_capitata_HIv3___TS.g49315.t1a,6,10,0,0,8,0,0,14
Montipora_capitata_HIv3___RNAseq.g19176.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g29525.t1,0,0,0,3,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45785.t1,0,112,10,12,21,11,1,2
Montipora_capitata_HIv3___TS.g35745.t1,0,0,76,7,29,4,27,4
Montipora_capitata_HIv3___RNAseq.g8204.t1,6,29,61,206,106,45,34,12
Montipora_capitata_HIv3___RNAseq.g9577.t1,41,131,147,230,154,66,168,111
Montipora_capitata_HIv3___RNAseq.g23056.t1,2705,4153,1441,2594,3208,1073,763,4090
Montipora_capitata_HIv3___RNAseq.g30111.t1,0,0,0,3,2,0,0,0
Montipora_capitata_HIv3___RNAseq.g13553.t1,0,0,0,0,1,0,0,0
Montipora_capitata_HIv3___RNAseq.g37262.t1,27,65,24,50,65,49,7,43
Montipora_capitata_HIv3___RNAseq.g5416.t1,0,0,0,5,0,20,27,0
Montipora_capitata_HIv3___RNAseq.g48275.t1,127,277,236,860,738,438,224,256
Montipora_capitata_HIv3___RNAseq.24234_t,510,1263,494,392,514,590,398,1009
Montipora_capitata_HIv3___TS.g14944.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g42581.t1,0,0,0,0,2,0,0,0
Montipora_capitata_HIv3___RNAseq.g36441.t1,0,0,0,6,11,53,44,0
Montipora_capitata_HIv3___RNAseq.g7234.t1,1035,1930,1006,1824,1835,1386,862,1816
Montipora_capitata_HIv3___TS.g47964.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g26541.t1,0,37,15,8,22,67,112,4
Montipora_capitata_HIv3___RNAseq.g2841.t1,0,21,11,13,7,5,9,18
Montipora_capitata_HIv3___RNAseq.g11226.t1,0,0,0,0,6,2,3,0
Montipora_capitata_HIv3___TS.g11988.t1,0,2,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31691.t1,0,0,0,0,0,0,3,0
Montipora_capitata_HIv3___RNAseq.g2284.t1,0,0,0,0,0,9,0,0
Montipora_capitata_HIv3___RNAseq.g17208.t1,0,0,0,17,27,8,16,0
