gene_id,13_S31_R1_001.bam.gtf,23_S32_R1_001.bam.gtf,35_S33_R1_001.bam.gtf,52_S34_R1_001.bam.gtf,60_S35_R1_001.bam.gtf,72_S36_R1_001.bam.gtf,85_S37_R1_001.bam.gtf,9_S30_R1_001.bam.gtf
Montipora_capitata_HIv3___RNAseq.g42319.t1,0,0,0,0,0,3,0,0
Montipora_capitata_HIv3___TS.g49315.t1b,0,0,0,5,0,3,10,4
Montipora_capitata_HIv3___RNAseq.g19176.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g37388.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g35745.t1,0,0,76,7,29,4,27,4
Montipora_capitata_HIv3___RNAseq.g30111.t1,0,0,0,3,2,0,0,0
Montipora_capitata_HIv3___RNAseq.g13553.t1,0,0,0,0,1,0,0,0
STRG.6170,808,1267,713,937,1110,2617,5287,1557
Montipora_capitata_HIv3___RNAseq.g5416.t1,0,0,0,5,0,20,27,0
STRG.5739,49,60,84,156,154,186,109,50
STRG.6173,45,52,16,122,81,283,376,53
Montipora_capitata_HIv3___TS.g14944.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g42581.t1,0,0,0,0,2,0,0,0
Montipora_capitata_HIv3___RNAseq.g36441.t1,0,0,0,6,11,53,44,0
Montipora_capitata_HIv3___TS.g42640.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g40263.t1,0,0,0,0,0,7,0,0
STRG.15042,5,0,4,12,9,17,13,0
Montipora_capitata_HIv3___RNAseq.g26541.t1,0,37,15,8,22,67,112,4
STRG.15040,2003,2926,1723,3296,3476,1248,414,2825
Montipora_capitata_HIv3___RNAseq.g2841.t1,0,21,11,13,7,5,9,18
STRG.15046,1,48,67,121,127,56,21,4
Montipora_capitata_HIv3___RNAseq.g11226.t1,0,0,0,0,6,2,3,0
STRG.8665,26,92,51,192,184,166,92,44
Montipora_capitata_HIv3___TS.g11988.t1,0,2,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31691.t1,0,0,0,0,0,0,3,0
Montipora_capitata_HIv3___RNAseq.g2284.t1,0,0,0,0,0,9,0,0
Montipora_capitata_HIv3___RNAseq.g17208.t1,0,0,0,17,27,8,16,0
Montipora_capitata_HIv3___TS.g26496.t1,0,0,0,0,8,4,0,8
STRG.6544,12,30,11,21,14,35,37,11
STRG.6545,377,825,598,789,653,599,603,762
STRG.6546,60,205,189,1236,1046,734,416,82
STRG.6547,2,5,0,0,0,4,3,0
STRG.6540,3,6,34,34,29,14,15,0
STRG.6541,6,24,18,452,436,245,476,12
STRG.6542,380,1356,951,2952,2949,2009,958,914
