gene_id,13_S31_R1_001.bam.gtf,23_S32_R1_001.bam.gtf,35_S33_R1_001.bam.gtf,52_S34_R1_001.bam.gtf,60_S35_R1_001.bam.gtf,72_S36_R1_001.bam.gtf,85_S37_R1_001.bam.gtf,9_S30_R1_001.bam.gtf
STRG.899,103,525,226,733,702,743,322,353
Montipora_capitata_HIv3___RNAseq.g18462.t1,0,0,0,13,12,18,0,0
STRG.5169,154,590,483,541,415,374,375,350
STRG.898,550,1341,826,1342,1572,1178,639,954
Montipora_capitata_HIv3___RNAseq.g38519.t1,0,0,2,0,4,11,0,0
Montipora_capitata_HIv3___RNAseq.g7250.t1,0,22,26,44,97,18,0,0
STRG.351,543,2915,2006,3083,2815,1212,568,1300
Montipora_capitata_HIv3___RNAseq.g39710.t1,0,0,0,8,46,13,8,4
Montipora_capitata_HIv3___RNAseq.g9657.t1,0,14,12,10,9,0,0,0
STRG.356,2218,5661,3681,4721,4047,2695,1925,5010
Montipora_capitata_HIv3___RNAseq.g30866.t1,0,1,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g22807.t1,0,1,0,9,15,6,5,0
Montipora_capitata_HIv3___TS.g13925.t1,0,3,1,0,2,1,0,0
Montipora_capitata_HIv3___RNAseq.g20053.t1,0,4,10,13,12,19,8,0
STRG.18159,8735,11616,5494,1763,1639,3175,3132,12038
STRG.17104,49,253,69,96,41,126,231,151
STRG.788,567,1151,1210,2462,2550,1752,719,878
Montipora_capitata_HIv3___RNAseq.g39487.t1,0,0,0,0,0,0,0,0
STRG.896,3215,5188,1669,2040,2021,2405,2093,5158
STRG.9318,67,106,64,107,150,104,108,126
STRG.9319,48,48,53,62,124,57,40,74
Montipora_capitata_HIv3___TS.g28025.t1,0,0,1,1,4,6,6,0
STRG.9314,13,62,13,6,17,48,133,61
STRG.9315,31,78,12,11,7,56,109,100
STRG.9316,14,25,51,47,65,12,26,9
STRG.9317,367,1709,1114,4101,4848,3077,1960,1346
STRG.9310,3,0,0,0,3,0,0,0
STRG.9311,8,16,88,172,95,42,24,6
STRG.9312,101,167,29,68,124,137,117,123
STRG.9313,40,59,9,6,13,31,21,101
Montipora_capitata_HIv3___RNAseq.g41001.t1,0,2,0,5,13,29,11,0
Montipora_capitata_HIv3___RNAseq.g43427.t1,0,0,5,15,31,21,31,0
Montipora_capitata_HIv3___TS.g6107.t1,0,0,1,6,2,9,11,0
Montipora_capitata_HIv3___RNAseq.g35645.t1,0,4,0,0,0,6,3,0
Montipora_capitata_HIv3___RNAseq.g32025.t1,0,0,8,5,10,9,13,0
Montipora_capitata_HIv3___RNAseq.g6010.t1,0,0,0,0,0,2,16,0
Montipora_capitata_HIv3___RNAseq.g9202.t1,0,0,2,1,2,6,0,0
Montipora_capitata_HIv3___RNAseq.g35907.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48567.t1,0,0,0,2,7,4,7,0
Montipora_capitata_HIv3___RNAseq.g34823.t1,0,0,0,7,5,12,15,0
Montipora_capitata_HIv3___RNAseq.g41003.t1,0,0,0,8,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g43930.t1,0,16,0,0,0,20,11,0
Montipora_capitata_HIv3___RNAseq.g16373.t1,0,1,8,10,23,27,32,1
STRG.16078,508,1162,662,1166,1093,703,585,1052
STRG.7805,698,2175,726,385,490,299,137,1640
Montipora_capitata_HIv3___RNAseq.g35380.t1,0,0,0,0,0,2,0,0
Montipora_capitata_HIv3___RNAseq.g20051.t1,0,0,1,0,1,2,0,0
Montipora_capitata_HIv3___RNAseq.g14283.t1,0,0,0,0,2,9,2,0
STRG.4696,6,58,26,63,91,52,16,30
STRG.4697,8,25,4,9,7,8,19,0
STRG.4694,253,863,329,1071,924,755,582,546
STRG.4695,7,2,0,0,6,10,0,3
STRG.4692,54,425,235,1093,650,98,102,185
STRG.4693,3,0,0,0,0,6,4,0
STRG.4690,4,19,13,12,39,28,89,0
STRG.4691,3,1,0,6,3,3,7,6
Montipora_capitata_HIv3___RNAseq.g14602.t1,0,2,1,2,15,13,5,0
Montipora_capitata_HIv3___RNAseq.g33318.t1,0,0,2,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g30894.t1,0,107,329,480,1199,620,223,0
STRG.4698,1,7,0,6,3,10,14,0
STRG.4699,16,83,66,21,8,9,0,41
STRG.10899,277,1211,644,2610,2005,1055,644,689
STRG.784,2,20,21,27,38,75,113,3
Montipora_capitata_HIv3___RNAseq.g49462.t1,0,0,0,3,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48016.t1,0,0,5,5,0,6,0,0
Montipora_capitata_HIv3___RNAseq.g28315.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g653.t1a,0,11,14,7,4,6,11,0
Montipora_capitata_HIv3___RNAseq.g32383.t1,0,0,55,76,99,121,99,0
STRG.9436,52,190,667,1435,1332,721,441,101
STRG.16077,4,0,7,18,4,18,3,0
STRG.4348,10,24,0,3,10,0,0,8
STRG.4349,69,38,30,40,0,35,56,26
STRG.4344,2,12,14,26,52,31,1,5
STRG.4345,663,425,410,455,395,304,359,1387
STRG.4346,95,105,55,63,76,48,57,318
Montipora_capitata_HIv3___RNAseq.g22486.t1,0,0,6,1,6,14,4,0
STRG.4340,21,51,86,2271,2842,2538,1708,29
Montipora_capitata_HIv3___RNAseq.g47746.t1,0,0,0,0,8,3,0,0
STRG.4342,2859,5467,1613,1988,1994,2188,1318,4163
STRG.4343,522,263,1879,868,678,691,355,1043
Montipora_capitata_HIv3___RNAseq.g14539.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g17086.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31815.t1,0,0,0,6,5,0,6,0
Montipora_capitata_HIv3___RNAseq.g2007.t1,0,0,0,0,3,0,0,0
Montipora_capitata_HIv3___RNAseq.g23400.t1,0,10,33,19,29,8,7,0
Montipora_capitata_HIv3___RNAseq.g16371.t1,0,0,1,0,2,0,2,0
Montipora_capitata_HIv3___TS.g12624.t1,0,0,5,4,0,0,0,0
STRG.10897,376,999,995,4233,3674,1440,891,634
Montipora_capitata_HIv3___TS.g10820.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g43387.t1,0,3,0,0,0,0,0,0
STRG.12989,2,16,28,51,69,68,44,4
STRG.10894,386,1334,769,1899,1942,1178,607,741
Montipora_capitata_HIv3___TS.g46289.t1,0,0,0,0,0,9,10,0
STRG.8446,17,15,11,22,49,86,78,39
STRG.8445,417,1581,460,195,268,370,420,1143
STRG.8444,3088,7715,4045,6470,5559,2288,1801,6384
STRG.8443,1140,2472,2802,11285,12703,6316,2414,1670
Montipora_capitata_HIv3___RNAseq.g49766.t1,0,0,0,0,0,0,0,0
STRG.8441,288,505,316,243,208,159,106,474
Montipora_capitata_HIv3___RNAseq.g30283.t1,0,0,0,0,0,10,0,0
Montipora_capitata_HIv3___RNAseq.g35124.t1,0,0,0,0,0,0,2,0
STRG.8449,153,260,55,204,427,505,568,188
STRG.8448,196,419,318,657,750,418,222,405
Montipora_capitata_HIv3___RNAseq.g39026.t1,0,0,0,6,5,17,16,0
Montipora_capitata_HIv3___TS.g8562.t1,0,0,0,0,13,7,2,0
Montipora_capitata_HIv3___RNAseq.g47949.t1,0,3,8,8,3,2,0,3
Montipora_capitata_HIv3___RNAseq.g32513.t1,0,4,8,19,28,61,49,0
Montipora_capitata_HIv3___RNAseq.g23873.t1,0,0,0,0,0,0,0,0
STRG.14429,791,2222,1788,6214,5609,4047,2384,1485
STRG.14428,1227,1802,893,1049,1384,1150,793,1980
STRG.14423,1644,3183,4463,5778,5237,1412,523,3076
STRG.14422,1317,2224,1734,6819,6315,2955,1704,1833
STRG.14421,948,3195,1951,3130,2887,955,676,2403
STRG.14420,153,1009,620,1117,700,260,173,508
STRG.14427,193,427,132,274,262,225,210,341
STRG.14426,1196,2575,1091,1576,1529,915,661,1667
STRG.14425,3,24,874,4498,4048,4037,3285,0
STRG.14424,1062,2603,821,2529,2501,1400,752,1612
Montipora_capitata_HIv3___TS.g11776.t1,0,0,0,0,0,0,0,0
STRG.12984,13,60,65,61,94,89,46,26
STRG.12985,57,465,306,656,831,1187,772,191
Montipora_capitata_HIv3___RNAseq.g9026.t1,0,5,0,40,62,49,78,0
Montipora_capitata_HIv3___RNAseq.g10568.t1,0,3,5,3,7,12,0,0
STRG.16379,1012,2436,714,1986,2396,1356,1066,1648
STRG.16378,1613,11598,7656,5792,5605,2009,1037,3725
Montipora_capitata_HIv3___TS.g42436.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g38093.t1,0,0,7,0,5,2,2,0
STRG.16374,418,1920,1267,1377,1221,851,470,938
STRG.16377,33,96,481,410,439,532,308,79
STRG.16376,477,1411,805,533,577,748,627,1324
Montipora_capitata_HIv3___RNAseq.g41079.t1,0,2,0,7,0,29,195,3
STRG.16370,104,210,102,517,516,468,430,189
STRG.16373,60,157,59,387,268,127,57,106
Montipora_capitata_HIv3___RNAseq.g17701.t1,0,0,0,0,0,0,0,2
Montipora_capitata_HIv3___RNAseq.g30458.t1,0,0,0,2,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g38157.t1b,0,0,21,0,13,11,16,0
STRG.12869,844,2067,734,1782,2097,1397,1102,1698
STRG.12868,752,1285,741,1707,1519,1475,1131,1035
Montipora_capitata_HIv3___RNAseq.g1060.t1,0,0,0,1,0,0,0,0
STRG.12865,192,493,176,710,699,437,467,434
STRG.12864,703,1499,1083,3072,2683,1036,655,1376
STRG.12867,1193,3012,2191,3985,3668,1366,839,2243
STRG.12866,274,617,317,2187,2469,1472,813,599
STRG.12861,1378,5622,2562,2940,2770,2195,1547,3812
STRG.12860,65,112,50,71,78,600,384,113
STRG.12863,88,159,118,106,75,39,45,96
STRG.12862,4,0,3,9,5,3,5,4
Montipora_capitata_HIv3___RNAseq.g4860.t1,0,2,9,87,69,45,18,0
Montipora_capitata_HIv3___RNAseq.g33035.t1,0,12,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g29762.t1,0,13,106,162,167,108,73,3
Montipora_capitata_HIv3___TS.g12798.t1,0,6,2,3,5,9,7,0
Montipora_capitata_HIv3___RNAseq.g5720.t1,0,0,0,11,0,6,0,0
Montipora_capitata_HIv3___RNAseq.g43027.t1,0,0,0,0,3,9,0,4
Montipora_capitata_HIv3___RNAseq.g49206.t1,0,4,9,0,7,11,20,5
Montipora_capitata_HIv3___RNAseq.g36596.t1,0,0,0,3,0,0,0,3
Montipora_capitata_HIv3___RNAseq.g47548.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g16271.t1,0,1,1,58,5,18,9,0
Montipora_capitata_HIv3___RNAseq.g15246.t1,0,0,13,108,213,282,193,0
Montipora_capitata_HIv3___RNAseq.g34264.t1,0,0,1,4,2,2,1,2
Montipora_capitata_HIv3___RNAseq.g43787.t1,0,0,0,0,9,2,9,0
Montipora_capitata_HIv3___TS.g46519.t1,0,0,0,14,33,23,26,0
Montipora_capitata_HIv3___RNAseq.g5701.t1,0,22,0,0,0,12,3,0
Montipora_capitata_HIv3___RNAseq.g14560.t1,0,3,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46597.t1,0,1,1,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49204.t1,0,3,7,0,0,9,17,0
Montipora_capitata_HIv3___RNAseq.g35674.t1,0,0,0,4,7,2,8,0
Montipora_capitata_HIv3___TS.g29745.t1,0,0,0,0,0,1,10,0
Montipora_capitata_HIv3___RNAseq.g5722.t1,0,0,0,0,0,6,3,0
Montipora_capitata_HIv3___RNAseq.g7123.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g22531.t1,0,0,3,4,2,5,0,0
Montipora_capitata_HIv3___RNAseq.g26392.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g17703.t1,0,0,0,1,6,2,0,5
Montipora_capitata_HIv3___RNAseq.g38091.t1,0,0,0,8,0,13,0,0
STRG.8999,155,166,211,1342,1343,853,697,205
STRG.8998,555,2347,1359,1886,1479,946,696,1741
STRG.8995,35,75,37,854,902,1151,289,106
Montipora_capitata_HIv3___TS.g38211.t1,0,0,0,0,5,0,14,0
STRG.8997,25,76,28,29,17,0,19,107
STRG.8996,4,13,13,166,147,179,59,16
STRG.8991,3455,13973,15875,41842,42869,9716,7648,10569
STRG.8990,5695,15399,16276,56283,49243,11787,8388,13907
Montipora_capitata_HIv3___TS.g26569.t1,0,46,149,141,311,112,25,0
STRG.8992,234,107,113,511,675,1384,741,345
STRG.12289,13,0,65,72,23,34,50,10
STRG.12288,2,2,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31940.t1c,0,0,0,0,3,0,11,8
Montipora_capitata_HIv3___RNAseq.g31940.t1b,0,4,0,0,0,15,0,0
Montipora_capitata_HIv3___RNAseq.g46595.t1,0,0,0,0,2,0,5,0
STRG.6459,12,78,16,44,43,18,10,68
Montipora_capitata_HIv3___RNAseq.g1768.t1,0,0,5,6,0,10,0,0
Montipora_capitata_HIv3___RNAseq.g29760.t1,0,0,0,0,0,0,0,0
STRG.6454,21,95,57,332,447,1507,3869,44
STRG.12282,2143,7281,5422,10062,8653,5073,4037,6281
STRG.6452,275,473,378,3252,3041,1238,803,526
STRG.12284,1108,1761,1923,3259,2252,1195,912,1905
STRG.12287,10,4,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31091.t1,0,0,17,12,10,12,14,0
STRG.17422,1005,2477,939,1400,1234,746,582,1722
STRG.17423,470,1729,483,962,812,493,157,1164
STRG.17420,95,94,213,889,1284,653,265,169
STRG.17421,1117,3156,1949,5964,6592,4573,2858,2782
STRG.17426,23,75,59,120,103,128,24,51
Montipora_capitata_HIv3___RNAseq.g36045.t1,0,0,0,0,0,4,0,0
STRG.17424,56,247,438,1513,1584,1501,1131,148
STRG.17425,10810,15869,1610,661,651,627,644,13828
STRG.2346,3,0,0,0,0,3,9,0
STRG.2347,9,0,1,28,61,83,53,12
STRG.2344,4,9,8,6,19,11,22,8
Montipora_capitata_HIv3___RNAseq.g32937.t1,0,0,0,0,4,0,0,0
STRG.2342,97,95,91,51,39,110,169,95
STRG.2343,15,14,12,7,15,13,9,2
STRG.2340,320,605,275,424,589,741,532,506
STRG.2341,173,308,208,124,118,350,295,255
STRG.4253,358,1941,2243,6466,5798,4782,4688,1332
Montipora_capitata_HIv3___RNAseq.g29656.t1,0,0,3,0,0,0,0,0
STRG.8268,1307,2060,384,747,1034,858,824,2632
Montipora_capitata_HIv3___TS.g43096.t1,0,0,0,0,8,0,0,0
Montipora_capitata_HIv3___RNAseq.g17266.t1,0,0,1,0,0,5,0,0
STRG.15482,17839,50465,54041,75315,51191,22551,13237,42518
STRG.15483,1145,2605,1309,3499,3754,1822,1569,2089
STRG.15480,313,794,164,512,658,546,278,683
STRG.13731,5737,12297,7204,5867,3684,1799,859,11943
Montipora_capitata_HIv3___RNAseq.g14103.t1,0,4,8,7,10,5,16,2
STRG.15487,287,419,153,646,768,1218,674,373
STRG.15484,368,1350,1888,5398,5621,4751,2323,889
Montipora_capitata_HIv3___RNAseq.g41841.t1,0,0,0,8,2,17,5,0
STRG.15488,318,707,164,679,678,519,336,539
STRG.15489,94,451,211,405,438,362,287,313
STRG.8265,396,747,245,1092,1056,562,535,723
Montipora_capitata_HIv3___TS.g24703.t1,0,0,0,0,8,4,6,0
STRG.13737,781,2226,1139,813,825,395,297,2299
STRG.12133,3,7,0,0,4,0,4,0
STRG.9844,9,2,8,0,3,5,3,0
STRG.12131,8019,17033,3054,1819,871,54,37,15664
Montipora_capitata_HIv3___RNAseq.g21586.t1,0,10,11,15,12,11,8,3
STRG.12137,3,8,0,24,55,33,32,10
STRG.12136,11,62,26,45,11,13,0,47
STRG.12135,10,3737,1111,55,44,11,9,0
STRG.12134,10,0,0,0,36,19,19,27
STRG.12139,40,130,20,1269,1423,743,464,92
STRG.12138,4,12,43,21,40,25,21,8
Montipora_capitata_HIv3___RNAseq.g21817.t1,0,0,3,3,0,0,0,3
Montipora_capitata_HIv3___RNAseq.g7523.t1,0,0,0,0,5,8,6,0
Montipora_capitata_HIv3___RNAseq.g26390.t1,0,0,0,0,0,0,0,0
STRG.9847,870,1182,755,304,427,543,377,1178
Montipora_capitata_HIv3___RNAseq.g21990.t1,0,3,4,8,29,26,13,0
Montipora_capitata_HIv3___RNAseq.g35259.t1,0,2,7,20,28,18,7,0
STRG.6446,246,750,378,862,956,1671,1417,532
Montipora_capitata_HIv3___RNAseq.g41963.t1,0,0,0,0,3,0,0,0
Montipora_capitata_HIv3___TS.g39296.t1,0,0,0,3,0,9,4,0
STRG.9841,5,8,4,13,7,350,736,4
Montipora_capitata_HIv3___RNAseq.g23417.t1,0,0,0,10,0,9,5,0
STRG.9842,546,1561,1845,20398,15557,8352,4572,1663
Montipora_capitata_HIv3___RNAseq.g31093.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g23722.t1,0,0,0,0,0,0,8,0
Montipora_capitata_HIv3___RNAseq.g39561.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g50279.t1,0,0,0,0,0,0,1,0
Montipora_capitata_HIv3___RNAseq.g13925.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g29785.t1,0,0,0,0,0,0,2,1
Montipora_capitata_HIv3___TS.g20314.t1,0,5,0,2,3,6,1,0
STRG.10282,306,751,225,781,925,648,420,579
Montipora_capitata_HIv3___RNAseq.g29654.t1,0,21,0,15,24,35,17,39
STRG.1101,1860,3745,2466,3411,3161,2227,1613,3783
Montipora_capitata_HIv3___RNAseq.g17264.t1,0,0,0,2,4,0,0,0
STRG.1103,41,229,116,286,265,230,75,118
STRG.1102,15,18,13,58,74,182,36,29
STRG.1105,692,1423,625,1373,1818,2293,2237,1309
STRG.1104,103,258,207,2202,2301,1407,970,249
STRG.1107,386,505,380,134,97,92,80,642
STRG.1106,61,155,72,151,173,189,188,92
Montipora_capitata_HIv3___TS.g27443.t1,0,6,9,3,0,0,5,0
Montipora_capitata_HIv3___RNAseq.g41843.t1,0,0,5,0,7,0,0,0
Montipora_capitata_HIv3___TS.g15517.t1,0,0,0,0,0,0,0,0
STRG.14993,1,1,0,1,0,0,0,0
Montipora_capitata_HIv3___TS.g35740.t1,0,0,0,0,0,10,0,0
STRG.14991,97,190,35,14,9,7,2,130
STRG.14990,405,1399,558,998,1193,2758,1851,846
STRG.14997,103,155,26,10,7,4,1,123
STRG.14996,9,11,4,19,2,0,0,13
STRG.14995,5,0,3,1,1,0,1,1
STRG.14994,4,4,1,5,6,3,5,6
STRG.14999,161,225,81,36,40,5,62,318
STRG.14998,4,3,6,14,16,40,19,0
Montipora_capitata_HIv3___TS.g18623.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g25911.t1,0,0,0,0,4,12,11,0
Montipora_capitata_HIv3___RNAseq.g4588.t1,0,3,8,7,27,21,31,0
Montipora_capitata_HIv3___RNAseq.g34900.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g16336.t1,0,4,0,11,9,7,3,0
Montipora_capitata_HIv3___TS.g17769.t1,0,0,0,2,0,4,2,0
Montipora_capitata_HIv3___RNAseq.g46731.t1,0,16,36,0,18,6,24,8
Montipora_capitata_HIv3___RNAseq.g16734.t1,0,0,0,2,0,0,3,0
Montipora_capitata_HIv3___RNAseq.g3160.t1,0,0,10,2,2,0,0,0
Montipora_capitata_HIv3___RNAseq.g22293.t1,0,0,0,0,0,0,0,2
Montipora_capitata_HIv3___RNAseq.g11264.t1,0,2,0,0,23,3,4,0
Montipora_capitata_HIv3___TS.g38452.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2844.t1,0,0,4,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g17564.t1,0,0,0,0,0,14,0,0
Montipora_capitata_HIv3___RNAseq.g9959.t1,0,0,0,0,4,4,11,0
STRG.18392,7,0,5,3,3,3,4,6
Montipora_capitata_HIv3___RNAseq.g47860.t1,0,0,0,15,14,6,4,0
STRG.18394,24,71,9,0,0,0,0,75
STRG.18397,14,10,3,21,8,16,10,7
STRG.18396,2,5,19,46,39,68,0,2
STRG.18399,3,0,12,0,0,20,10,0
Montipora_capitata_HIv3___RNAseq.g39563.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2304.t2,0,16,7,58,46,28,26,0
Montipora_capitata_HIv3___RNAseq.g32211.t1,0,3,1,0,6,5,3,0
STRG.7514,8,58,29,67,132,160,314,4
Montipora_capitata_HIv3___TS.g4544.t1,0,6,5,0,3,13,24,0
STRG.13428,28,44,27,37,33,29,16,43
STRG.13429,263,422,428,2699,3218,2970,3163,838
Montipora_capitata_HIv3___TS.g44480.t1,0,0,11,0,4,8,0,0
STRG.13427,6,33,5,26,18,22,8,0
STRG.13424,312,839,386,745,944,1002,564,628
Montipora_capitata_HIv3___TS.g48009.t1,0,5,0,4,0,2,9,0
STRG.13422,3,0,0,0,4,2,5,0
STRG.13423,7,8,8,13,3,16,47,12
STRG.13420,1,2,0,2,6,18,5,0
STRG.13421,2,5,3,6,12,8,6,3
Montipora_capitata_HIv3___RNAseq.g9010.t1,0,4,10,6,6,4,4,1
Montipora_capitata_HIv3___TS.g3731.t1,0,0,0,3,9,0,8,0
Montipora_capitata_HIv3___RNAseq.g31116.t1,0,0,5,14,7,3,6,0
Montipora_capitata_HIv3___RNAseq.g32670.t1,0,0,0,0,0,6,0,0
Montipora_capitata_HIv3___RNAseq.g4081.t1,0,0,0,0,0,3,0,0
Montipora_capitata_HIv3___TS.g45621.t1,0,0,5,7,0,45,121,0
Montipora_capitata_HIv3___RNAseq.g27009.t1,0,7,0,0,21,11,7,0
Montipora_capitata_HIv3___RNAseq.g37953.t1,0,0,0,0,3,15,3,0
Montipora_capitata_HIv3___RNAseq.g2846.t1,0,0,0,1,0,4,1,0
Montipora_capitata_HIv3___RNAseq.g20439.t1,0,0,0,3,2,5,1,0
Montipora_capitata_HIv3___RNAseq.g31469.t1,0,18,38,51,46,40,22,7
Montipora_capitata_HIv3___RNAseq.g2456.t1,0,2,8,8,4,19,4,2
Montipora_capitata_HIv3___TS.g36733.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g5241.t1,0,18,6,19,16,42,29,14
Montipora_capitata_HIv3___TS.g50857.t1,0,12,3,7,3,0,10,0
Montipora_capitata_HIv3___RNAseq.g22291.t1,0,0,3,0,4,3,0,0
Montipora_capitata_HIv3___RNAseq.g3162.t1,0,0,0,0,0,0,8,0
Montipora_capitata_HIv3___RNAseq.g38647.t1,0,0,0,13,0,9,8,0
Montipora_capitata_HIv3___TS.g38397.t1,0,1,0,2,2,3,3,0
STRG.4258,1,16,11,52,73,40,6,2
Montipora_capitata_HIv3___RNAseq.g25009.t1,0,0,0,3,5,10,24,3
Montipora_capitata_HIv3___RNAseq.g25044.t1,0,0,4,4,2,0,0,0
Montipora_capitata_HIv3___TS.g16315.t1,0,0,3,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35443.t1,0,0,0,10,20,0,8,0
Montipora_capitata_HIv3___RNAseq.g12986.t1,0,0,0,0,4,0,0,0
Montipora_capitata_HIv3___RNAseq.g35269.t1,0,4,0,58,91,60,43,0
Montipora_capitata_HIv3___RNAseq.g4345.t1,0,0,0,0,0,0,3,0
Montipora_capitata_HIv3___RNAseq.g10287.t1,0,0,4,11,12,7,8,0
STRG.11775,1200,3721,3053,6052,6489,3338,2042,2536
Montipora_capitata_HIv3___RNAseq.g30007.t1,0,0,0,0,17,0,0,0
Montipora_capitata_HIv3___TS.g25163.t1b,0,0,3,0,0,0,0,0
STRG.11777,806,1515,733,2448,2798,2446,1455,1579
Montipora_capitata_HIv3___RNAseq.g38408.t1,0,2,11,12,35,15,3,7
Montipora_capitata_HIv3___RNAseq.g36615.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6035.t1,0,2,11,28,20,34,23,0
STRG.19046,8,19,5,7,14,16,30,18
STRG.19047,189,710,315,857,796,1326,756,436
STRG.19044,20,5,7,21,21,24,14,27
STRG.19045,1,11,10,4,7,13,8,1
Montipora_capitata_HIv3___RNAseq.g21244.t1,0,0,9,4,28,6,0,0
STRG.19043,286,449,344,559,515,336,222,422
Montipora_capitata_HIv3___RNAseq.g35441.t1,0,0,0,0,0,0,0,0
STRG.19041,138,417,180,307,390,465,668,247
Montipora_capitata_HIv3___RNAseq.g18902.t1,0,0,0,1,8,2,2,0
Montipora_capitata_HIv3___RNAseq.g32935.t1,0,0,0,0,9,5,2,0
Montipora_capitata_HIv3___TS.g44312.t1,0,0,8,6,15,57,37,0
STRG.19049,5,12,15,33,36,14,14,13
Montipora_capitata_HIv3___RNAseq.g36469.t1,0,0,0,0,0,6,0,0
STRG.10199,75,165,444,717,474,512,626,210
STRG.10198,2,0,0,1,0,0,1,0
Montipora_capitata_HIv3___RNAseq.g33250.t1,0,5,0,3,0,0,2,0
STRG.10196,3,3,33,59,52,37,27,2
STRG.10195,1,7,10,8,22,6,13,13
STRG.10194,4,67,53,39,43,11,9,77
STRG.10193,528,620,368,702,751,446,306,686
STRG.10192,2451,6292,4106,4406,4056,1152,548,4677
STRG.10191,779,1284,134,317,436,305,282,1195
STRG.10190,86,137,83,54,55,141,99,136
Montipora_capitata_HIv3___TS.g25797.t1,0,0,18,8,9,27,11,0
STRG.4306,1,4,4,33,20,15,8,2
Montipora_capitata_HIv3___TS.g35988.t1,0,0,0,5,10,15,0,0
Montipora_capitata_HIv3___RNAseq.g19150.t1,0,0,0,0,0,13,0,5
Montipora_capitata_HIv3___RNAseq.g4731.t1,0,0,0,31,136,662,1005,0
Montipora_capitata_HIv3___RNAseq.g2196.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g25461.t1,0,0,0,4,0,9,0,0
Montipora_capitata_HIv3___RNAseq.g15837.t1,0,0,0,0,0,10,42,4
STRG.13162,1246,3093,2026,5954,6682,4137,3810,3256
Montipora_capitata_HIv3___RNAseq.g36408.t1,0,4,3,8,5,13,6,0
Montipora_capitata_HIv3___TS.g3484.t1c,0,0,0,8,0,0,6,0
Montipora_capitata_HIv3___TS.g3484.t1b,0,0,0,0,0,3,0,0
Montipora_capitata_HIv3___TS.g3484.t1a,0,0,0,0,0,0,6,7
Montipora_capitata_HIv3___RNAseq.g7937.t2,0,0,6,2,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g33252.t1,0,0,0,0,0,6,0,0
STRG.13160,24,59,45,54,68,24,21,55
Montipora_capitata_HIv3___TS.g1676.t1,0,0,58,72,77,15,8,0
Montipora_capitata_HIv3___RNAseq.g13663.t1,0,10,3,0,0,3,0,0
Montipora_capitata_HIv3___TS.g25895.t1,0,0,6,15,6,24,33,0
STRG.13166,391,646,108,351,355,359,371,478
Montipora_capitata_HIv3___RNAseq.g22762.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g11208.t1,0,0,0,0,1,0,2,0
Montipora_capitata_HIv3___TS.g40744.t1,0,0,0,0,0,5,3,0
Montipora_capitata_HIv3___RNAseq.g8228.t1,0,0,0,4,0,33,74,0
Montipora_capitata_HIv3___TS.g10509.t1,0,0,0,0,6,1,0,0
Montipora_capitata_HIv3___TS.g6736.t1,0,0,0,0,0,5,0,11
Montipora_capitata_HIv3___TS.g22533.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g29039.t1,0,0,0,152,191,572,259,0
