transcript_id,SRR11452251.bam.gtf,SRR11452262.bam.gtf,SRR11452263.bam.gtf,SRR4048723.bam.gtf
Montipora_capitata_HIv3___RNAseq.g19968.t1,105,86,167,126
Montipora_capitata_HIv3___RNAseq.g47917.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g20486.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g11023.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g24692.t1,0,0,0,1
Montipora_capitata_HIv3___RNAseq.g47262.t1,31,54,69,15
Montipora_capitata_HIv3___RNAseq.g14916.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g47848.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.42542_t,0,0,0,0
Montipora_capitata_HIv3___TS.g38124.t1,290,439,522,520
Montipora_capitata_HIv3___RNAseq.g21163.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g9640.t1,405,144,526,185
Montipora_capitata_HIv3___RNAseq.g10888.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31864.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18279.t1a,14,0,21,0
Montipora_capitata_HIv3___RNAseq.g44660.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49243.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18279.t1b,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2970.t1a,0,0,0,0
Montipora_capitata_HIv3___TS.g42640.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g37069.t1,2589,2704,4409,1434
Montipora_capitata_HIv3___RNAseq.g2970.t1b,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g16466.t1,54,83,77,37
Montipora_capitata_HIv3___RNAseq.g8038.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49214.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49058.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g21730.t1,15,34,19,62
Montipora_capitata_HIv3___TS.g10940.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4357.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g30129.t1,83,58,181,183
Montipora_capitata_HIv3___RNAseq.g12823.t1,1274,1005,1462,974
Montipora_capitata_HIv3___RNAseq.g12140.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g12129.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g37064.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g37621.t1,0,0,0,5
Montipora_capitata_HIv3___RNAseq.g48200.t1,143,83,291,134
Montipora_capitata_HIv3___RNAseq.g50406.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g1727.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35908.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45417.t1,0,0,0,6
Montipora_capitata_HIv3___TS.g13270.t1,33,25,85,45
Montipora_capitata_HIv3___TS.g31312.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35627.t1,872,315,1413,324
Montipora_capitata_HIv3___RNAseq.g16464.t1,22,0,19,25
Montipora_capitata_HIv3___RNAseq.g22323.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.39533_t,0,0,0,0
Montipora_capitata_HIv3___TS.g14604.t1,67,21,132,56
Montipora_capitata_HIv3___RNAseq.g15798.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g12806.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g32070.t2,0,0,0,0
Montipora_capitata_HIv3___TS.g7355.t1,58,77,97,33
Montipora_capitata_HIv3___TS.g36074.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g30877.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g34646.t1a,0,0,1,0
Montipora_capitata_HIv3___RNAseq.g40738.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g22632.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g34646.t1b,25,48,75,36
Montipora_capitata_HIv3___RNAseq.g45415.t1,256,172,239,284
Montipora_capitata_HIv3___RNAseq.g1134.t1a,0,44,70,12
Montipora_capitata_HIv3___RNAseq.g1134.t1b,74,31,14,22
Montipora_capitata_HIv3___TS.g49915.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g44021.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g37066.t1,0,0,0,3
Montipora_capitata_HIv3___RNAseq.g23849.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g15730.t1,50,31,30,24
Montipora_capitata_HIv3___TS.g10804.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g1520.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g44048.t1,13,51,0,13
Montipora_capitata_HIv3___RNAseq.g36479.t1,1,2,0,0
Montipora_capitata_HIv3___RNAseq.g30899.t1,0,0,0,10
Montipora_capitata_HIv3___RNAseq.g31860.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49526.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g24414.t1,0,0,0,8
Montipora_capitata_HIv3___RNAseq.g16374.t1,0,0,0,1
Montipora_capitata_HIv3___RNAseq.g26226.t1,0,0,0,3
Montipora_capitata_HIv3___RNAseq.g7919.t1,0,0,4,2
Montipora_capitata_HIv3___RNAseq.g12821.t1,0,45,31,7
Montipora_capitata_HIv3___RNAseq.g23813.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g5414.t1,11,30,16,19
Montipora_capitata_HIv3___RNAseq.g35778.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49075.t1,0,0,3,0
Montipora_capitata_HIv3___RNAseq.g6581.t1,1024,646,1982,599
Montipora_capitata_HIv3___RNAseq.g16651.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g25533.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2325.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18328.t1,167,79,279,23
Montipora_capitata_HIv3___RNAseq.g31716.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g11283.t1b,0,0,0,0
Montipora_capitata_HIv3___TS.g23774.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g11283.t1a,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g30509.t1,9,6,0,2
Montipora_capitata_HIv3___TS.g33549.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g39921.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g10285.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g24150.t1,0,0,0,2
Montipora_capitata_HIv3___RNAseq.g50615.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g3299.t1,80,48,103,70
Montipora_capitata_HIv3___TS.g23217.t1,1834,1537,1857,2307
Montipora_capitata_HIv3___RNAseq.g22321.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g34005.t1,2,9,0,1
Montipora_capitata_HIv3___RNAseq.g24240.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2611.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g33553.t1,0,2,0,3
Montipora_capitata_HIv3___RNAseq.g27503.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g509.t1,57,84,136,40
Montipora_capitata_HIv3___RNAseq.g23422.t1,0,24,22,12
Montipora_capitata_HIv3___RNAseq.g31714.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2327.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g34.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g41721.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g27083.t1,190,188,336,101
Montipora_capitata_HIv3___RNAseq.g4248.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g33810.t1,0,0,0,10
Montipora_capitata_HIv3___TS.g22268.t4,111,55,149,64
Montipora_capitata_HIv3___RNAseq.g14757.t1,1904,1444,2490,2540
Montipora_capitata_HIv3___RNAseq.g18872.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g30286.t1,0,0,0,5
Montipora_capitata_HIv3___TS.g32517.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g20776.t1,0,0,0,3
Montipora_capitata_HIv3___RNAseq.g11199.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2458.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g9584.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g37372.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46457.t1,63,57,106,101
Montipora_capitata_HIv3___TS.g14984.t1,0,0,0,2
Montipora_capitata_HIv3___TS.g23215.t2,204,143,427,334
Montipora_capitata_HIv3___TS.g43357.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g8518.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g23811.t2,37,43,59,30
Montipora_capitata_HIv3___RNAseq.g29477.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g14755.t1,0,0,0,5
Montipora_capitata_HIv3___RNAseq.g30284.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g3356.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6847.t1,2581,1585,5063,540
Montipora_capitata_HIv3___RNAseq.g25695.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48951.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g23395.t1,450,349,793,403
Montipora_capitata_HIv3___RNAseq.g4507.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g8375.t1,0,0,0,1
Montipora_capitata_HIv3___RNAseq.g8368.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g13870.t1,0,20,0,13
Montipora_capitata_HIv3___RNAseq.g36857.t1,15,0,23,15
Montipora_capitata_HIv3___RNAseq.g38048.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46792.t1,2,2,0,0
Montipora_capitata_HIv3___RNAseq.g32646.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g40070.t1c,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49498.t1,2340,1566,3165,1938
Montipora_capitata_HIv3___RNAseq.g28457.t1,588,273,931,301
Montipora_capitata_HIv3___RNAseq.g28485.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g524.t1,45,100,130,75
Montipora_capitata_HIv3___RNAseq.g31360.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g41955.t1a,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g16837.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6399.t1,195,97,203,380
Montipora_capitata_HIv3___RNAseq.36991_t,655,593,1240,780
Montipora_capitata_HIv3___RNAseq.g18409.t1,39,0,27,11
Montipora_capitata_HIv3___RNAseq.g48520.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g12351.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g9063.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6915.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g20774.t1,174,62,222,216
Montipora_capitata_HIv3___RNAseq.g47730.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g9809.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g50647.t2,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35942.t1,5,8,0,4
Montipora_capitata_HIv3___RNAseq.g20462.t1,3108,2049,3278,1589
Montipora_capitata_HIv3___TS.g16289.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31005.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18801.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49391.t1,46,66,93,60
Montipora_capitata_HIv3___RNAseq.g49216.t1,2813,2178,4066,2833
Montipora_capitata_HIv3___RNAseq.g26016.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g8771.t1,6671,4192,8530,5688
Montipora_capitata_HIv3___TS.g45731.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g12599.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g26055.t1,0,0,19,11
Montipora_capitata_HIv3___RNAseq.g35839.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g47732.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g38848.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g11613.t1,0,0,2,0
Montipora_capitata_HIv3___RNAseq.g28455.t1,83,124,210,192
Montipora_capitata_HIv3___RNAseq.g34210.t1,256,197,237,347
Montipora_capitata_HIv3___TS.g3691.t3a,187,157,377,154
Montipora_capitata_HIv3___RNAseq.g21772.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45265.t1,500,343,653,583
Montipora_capitata_HIv3___RNAseq.g526.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g28487.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g33369.t1,158,125,126,73
Montipora_capitata_HIv3___RNAseq.g35211.t1,42,58,75,63
Montipora_capitata_HIv3___RNAseq.g49458.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6639.t1,77,46,83,22
Montipora_capitata_HIv3___RNAseq.g19579.t1,0,0,0,1
Montipora_capitata_HIv3___RNAseq.g31699.t1,0,0,0,3
Montipora_capitata_HIv3___TS.g19001.t2,64,131,142,28
Montipora_capitata_HIv3___RNAseq.g2455.t1b,158,146,289,223
Montipora_capitata_HIv3___RNAseq.g2455.t1a,0,0,0,1
Montipora_capitata_HIv3___RNAseq.g50559.t1a,0,0,0,2
Montipora_capitata_HIv3___RNAseq.g18424.t1,1412,1140,1953,854
Montipora_capitata_HIv3___RNAseq.g34009.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g40074.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g511.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g18559.t2,391,323,512,201
Montipora_capitata_HIv3___TS.g45824.t1a,0,0,0,0
Montipora_capitata_HIv3___TS.g45824.t1b,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46016.t1,0,0,0,6
Montipora_capitata_HIv3___RNAseq.g12353.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g15034.t1,74,82,79,48
Montipora_capitata_HIv3___TS.g4616.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g17412.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g21217.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g32549.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g34497.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g274.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35668.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35625.t1,1708,1424,2395,2079
Montipora_capitata_HIv3___TS.g46596.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g47083.t1,601,661,874,448
Montipora_capitata_HIv3___RNAseq.g7616.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g43364.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g8773.t1,35,56,59,14
Montipora_capitata_HIv3___TS.g47900.t1,18,31,28,23
Montipora_capitata_HIv3___RNAseq.g33246.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g3920.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2804.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g178.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g4614.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g34980.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g25531.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6583.t1,2397,2297,3487,2084
Montipora_capitata_HIv3___RNAseq.g10379.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g16552.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g42269.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48495.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g30788.t1,0,5,0,8
Montipora_capitata_HIv3___RNAseq.g13324.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18426.t1,66,57,76,94
Montipora_capitata_HIv3___RNAseq.g33935.t1,84,0,140,89
Montipora_capitata_HIv3___RNAseq.g26833.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g14179.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g44575.t1,19,59,79,85
Montipora_capitata_HIv3___TS.g26970.t1,296,190,469,121
Montipora_capitata_HIv3___RNAseq.g43713.t1a,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g43713.t1b,0,0,0,18
Montipora_capitata_HIv3___TS.g29776.t1,771,758,1035,301
Montipora_capitata_HIv3___RNAseq.g5517.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g38894.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45317.t1a,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4748.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g26489.t1,3279,4403,6651,2056
Montipora_capitata_HIv3___RNAseq.g36129.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g47081.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g10091.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g659.t1,89,58,110,77
Montipora_capitata_HIv3___TS.g38472.t1,902,512,1199,850
Montipora_capitata_HIv3___RNAseq.g49159.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g23272.t1,0,0,0,9
Montipora_capitata_HIv3___RNAseq.g6242.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g22104.t1,0,0,0,2
Montipora_capitata_HIv3___RNAseq.g12710.t1,120,49,94,65
Montipora_capitata_HIv3___RNAseq.g2806.t1,2501,1757,3866,2755
Montipora_capitata_HIv3___RNAseq.g5532.t1,0,0,0,4
Montipora_capitata_HIv3___TS.g18102.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g27592.t1,57,73,120,123
Montipora_capitata_HIv3___RNAseq.g21627.t1,631,549,1054,538
Montipora_capitata_HIv3___RNAseq.g22296.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g13882.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g8377.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g12966.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g10682.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g24685.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g32187.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g26724.t1a,0,0,19,0
Montipora_capitata_HIv3___RNAseq.g16061.t1,46,40,70,29
Montipora_capitata_HIv3___RNAseq.g13205.t1,154,193,279,194
Montipora_capitata_HIv3___RNAseq.g49789.t1b,1315,2494,1279,1192
Montipora_capitata_HIv3___RNAseq.g49789.t1a,3908,2396,5913,1205
Montipora_capitata_HIv3___RNAseq.g24170.t1,13,1,20,15
Montipora_capitata_HIv3___RNAseq.g12329.t1,0,39,0,28
Montipora_capitata_HIv3___TS.g42423.t1,16,32,39,61
Montipora_capitata_HIv3___RNAseq.g1106.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g10407.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48985.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g27590.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g33944.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g43771.t1,62,74,59,43
Montipora_capitata_HIv3___RNAseq.g5515.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45695.t1,0,0,23,0
Montipora_capitata_HIv3___TS.g45401.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g47418.t1,143,149,253,90
Montipora_capitata_HIv3___RNAseq.g37545.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46351.t1,0,0,3,0
Montipora_capitata_HIv3___RNAseq.g49741.t1,76,29,197,44
Montipora_capitata_HIv3___RNAseq.g25584.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g26972.t2,18,15,24,18
Montipora_capitata_HIv3___RNAseq.g37830.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g3990.t2,29,0,82,120
Montipora_capitata_HIv3___RNAseq.g10405.t1,0,0,0,6
Montipora_capitata_HIv3___RNAseq.g41095.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g7477.t1,139,99,97,146
Montipora_capitata_HIv3___TS.g41957.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49122.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g36091.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g3609.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18759.t1,40,7,8,30
Montipora_capitata_HIv3___RNAseq.g6240.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g13981.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g19628.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g44134.t1,150,89,262,402
Montipora_capitata_HIv3___TS.g40797.t1b,0,0,0,0
Montipora_capitata_HIv3___TS.g40797.t1a,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g37547.t1,0,0,0,1
Montipora_capitata_HIv3___RNAseq.g48522.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g9709.t1,20,0,43,42
Montipora_capitata_HIv3___TS.g50178.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g21006.t1,824,627,1381,836
Montipora_capitata_HIv3___RNAseq.g27665.t1,251,293,646,305
Montipora_capitata_HIv3___RNAseq.g40008.t1b,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g12964.t1,434,390,625,316
Montipora_capitata_HIv3___RNAseq.g32185.t1,12,0,0,0
Montipora_capitata_HIv3___RNAseq.g40008.t1a,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g41409.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g41228.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g23535.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g5906.t1,0,0,2,0
