transcript_id,SRR11452251.bam.gtf,SRR11452262.bam.gtf,SRR11452263.bam.gtf,SRR4048723.bam.gtf
Montipora_capitata_HIv3___RNAseq.g42319.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g49315.t1b,0,0,0,0
Montipora_capitata_HIv3___TS.g49315.t1a,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g19176.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g29525.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45785.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g35745.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g8204.t1,83,88,72,94
Montipora_capitata_HIv3___RNAseq.g9577.t1,1,0,18,8
Montipora_capitata_HIv3___RNAseq.g23056.t1,794,493,1169,1119
Montipora_capitata_HIv3___RNAseq.g30111.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g13553.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g37262.t1,0,2,0,2
Montipora_capitata_HIv3___RNAseq.g5416.t1,0,0,0,1
Montipora_capitata_HIv3___RNAseq.g48275.t1,252,135,181,217
Montipora_capitata_HIv3___RNAseq.24234_t,48,58,87,28
Montipora_capitata_HIv3___TS.g14944.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g42581.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g36441.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g7234.t1,0,62,46,6
Montipora_capitata_HIv3___TS.g40263.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g26541.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2841.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g14614.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g11988.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31691.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2284.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g17208.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g23982.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g26496.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g43294.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g23054.t1,723,641,908,982
Montipora_capitata_HIv3___RNAseq.g8206.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g687.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g36841.t1,293,84,268,414
Montipora_capitata_HIv3___RNAseq.g38554.t1,0,0,0,1
Montipora_capitata_HIv3___TS.g39513.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g1274.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g41915.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g47915.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6233.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g39882.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g16718.t1,36,26,55,38
Montipora_capitata_HIv3___RNAseq.g41943.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g39258.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48174.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g25449.t1,0,0,5,14
Montipora_capitata_HIv3___RNAseq.g15942.t1,148,176,162,51
Montipora_capitata_HIv3___RNAseq.g21679.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g9092.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g34166.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48730.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g39511.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g41150.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g17921.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g42583.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g23806.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g33488.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g41299.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g16550.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g13272.t1,73,42,108,71
Montipora_capitata_HIv3___TS.g7970.t2,585,396,645,881
Montipora_capitata_HIv3___RNAseq.g19909.t1,1660,1349,2620,1054
Montipora_capitata_HIv3___RNAseq.g1725.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g26655.t1,0,0,0,7
Montipora_capitata_HIv3___TS.g28207.t1a,0,0,4,6
Montipora_capitata_HIv3___RNAseq.g21161.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6891.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g7119.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g33812.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46563.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g41686.t1,0,0,0,0
Montipora_capitata_HIv3___TS.g4789.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6231.t1,0,0,0,8
Montipora_capitata_HIv3___RNAseq.g34302.t1,0,9,21,23
Montipora_capitata_HIv3___RNAseq.g32618.t1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g33987.t1,0,0,0,0
