"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"Montipora_capitata_HIv3___TS.g11188.t1",44.203033261888,4.42779653190768,0.677475141595424,6.53573284103151,6.32988197949754e-11,8.77374315694773e-10,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g44902.t1",189.831158313384,-1.30014960927206,0.332579365072114,-3.90929127244604,9.25672978860743e-05,0.000401028100841867,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g46322.t1",43.0675698305304,3.00953175744447,0.960318468763888,3.13388928291498,0.00172505931775258,0.00550389632391271,"Up at 72 hpf"
"Montipora_capitata_HIv3___TS.g13785.t2",31.4822854598889,-1.03643156167286,0.397665612682604,-2.60628912487861,0.00915291644383902,0.0235413393939755,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g43111.t1",233.669129774081,5.2807896388055,0.596421046261396,8.85413026905671,8.43388412258574e-19,3.8615997397299e-17,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.38369_t",23.8880031528551,3.13215467551213,1.35283215786271,2.31525740817731,0.0205988491698837,0.047484009026544,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g27819.t1",450.013918909212,3.82441898449808,0.793348101966891,4.82060645890054,1.43122453471902e-06,9.02549623362953e-06,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g36980.t1",13.5591449629509,3.26027380236199,1.11320913643891,2.92871635314765,0.00340364866395847,0.00993733748640156,"Up at 72 hpf"
"Montipora_capitata_HIv3___TS.g30953.t1",213.766121734591,-1.69928937933077,0.348779058536573,-4.87210839567246,1.10413558642843e-06,7.07833702752824e-06,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g24347.t1",10.8125042996731,-2.22038271217984,0.727596155707119,-3.05166910897426,0.00227572816866667,0.00702197695224808,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g47589.t1",83.4292576269993,-2.10148965658083,0.386592360119354,-5.43593167731518,5.45108409962583e-08,4.5165457535579e-07,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g24407.t1",291.173631444868,1.57519730986554,0.322883458575531,4.87853207722334,1.06878284107507e-06,6.87450800774048e-06,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.40944_t",14.1768770427377,-6.72553582991155,1.84033659451678,-3.65451398942458,0.000257669614353304,0.00100701704865181,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g467.t1",176.906931136532,6.01897319014021,1.08542867095409,5.54524986413853,2.93534690548252e-08,2.53879914537749e-07,"Up at 72 hpf"
"Montipora_capitata_HIv3___TS.g49733.t1",52.1516359361008,6.17065008132129,1.83479217114411,3.36313299041029,0.000770632292392932,0.0026877539988477,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g7238.t1",18.6858928845472,-5.47269781690817,1.14630635676443,-4.77420175210004,1.80421442929785e-06,1.11662495845269e-05,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g29718.t1",12.4837647388438,-3.11475954392644,1.14774443446339,-2.71380932061124,0.00665144393334379,0.0177807415163349,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g14960.t1",150.900073116262,1.35900903023011,0.278481827666642,4.88006359918362,1.06051635330424e-06,6.82588173835594e-06,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g22923.t1",13.7292549675149,9.12327252751181,3.02840613226091,3.01256572898981,0.0025904933015348,0.00785522780481094,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g45317.t1b",10.8043913283939,8.65064114975282,3.15892731630184,2.73847426153513,0.00617249917717422,0.0166629543577476,"Up at 72 hpf"
"Montipora_capitata_HIv3___TS.g47745.t1",43.6127050244025,4.50217191531366,0.604254570013848,7.45078670271453,9.27852689902948e-14,1.98757978650829e-12,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g16009.t1",11.6060786028015,3.83120843613833,1.19396864546574,3.20880154657985,0.00133289457377317,0.00436807818087604,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g41433.t1",30.8932079677218,-2.27370794418435,0.449868784638771,-5.05415806080001,4.32293495213634e-07,2.97675513703416e-06,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g7302.t1",72.6844006326641,3.83296733314225,0.727066106972286,5.271827824713,1.35071761799966e-07,1.03237997685876e-06,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g11126.t1",133.816973380991,-2.21399661144997,0.278073182512174,-7.96192064063223,1.69389109899567e-15,4.70249480097621e-14,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g11928.t1",47.9343016135213,4.30568084327881,0.764259596509075,5.63379362581243,1.76287965261981e-08,1.59767170018387e-07,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.14638_t",8.26037777579439,6.99575310057993,2.07552328381808,3.37059726340951,0.000750054230177795,0.00261976642001001,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g37130.t1",49.9603800776494,5.10744468186197,0.794140819367247,6.43140933862519,1.26426182083931e-10,1.68702119490726e-09,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g34203.t1",17.4383811943856,-7.15846322933036,2.32758430601503,-3.07549041761073,0.00210156681363418,0.00656001195041028,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g45411.t1",27.4557398797519,2.46107576716716,0.709088180697145,3.47076123134295,0.000518985255439387,0.00187787136808986,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g20088.t1",21.3328940486994,-1.62232762138166,0.625563848098617,-2.59338455429078,0.00950364397165967,0.0243475747574129,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g8129.t3",75.3666055904728,-1.67539474557853,0.286499205817534,-5.8478163693255,4.98067939626901e-09,4.95554517480483e-08,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g8528.t1",3.94957203245264,5.35973057965505,2.02844046290023,2.64229129603922,0.00823471986398457,0.0215073340378359,"Up at 72 hpf"
"Montipora_capitata_HIv3___TS.g13669.t1",15.7889194755625,8.11477955917137,2.36965623327165,3.42445433444486,0.000616035366953851,0.0021888626995738,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g7420.t1",30.9957775067037,3.50822495130298,1.05368216859361,3.3294906717322,0.000870049785869313,0.00299129928159553,"Up at 72 hpf"
