logger,Type,DateDeployed,Incubator,Treatment
21723476,HOBO Tidbit MX2203,20230616,1,Ambient
21723475,HOBO Tidbit MX2203,20230616,1,Ambient
21723473,HOBO Tidbit MX2203,20230616,2,High
21723474,HOBO Tidbit MX2203,20230616,2,High
21723472,HOBO Tidbit MX2203,20230616,3,High
21723477,HOBO Tidbit MX2203,20230616,4,Ambient
2098715,HOBO U22,20230617,3,High
2044042,HOBO U22,20230617,4,Ambient
