"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"Montipora_capitata_HIv3___RNAseq.g42173.t1",17.5264370629659,3.93829919716293,1.47215536263712,2.6751926441433,0.00746863202992048,0.0475624812098046,"Up at 4 hpf"
"Montipora_capitata_HIv3___TS.g35745.t1",12.4791437759724,4.82168304208251,1.6461674422263,2.92903560014624,0.00340015477115981,0.0275801498892688,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g36999.t1",2339.10951498432,1.5249099373798,0.49861948512804,3.05826383216495,0.00222623479621795,0.0206063620058773,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g14916.t1",99.0820793876937,4.69917124074833,1.29795771230297,3.62043477703952,0.000294108385621958,0.00466780116243617,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g18279.t1a",59.650780409194,6.18244349495523,1.84985989688574,3.34211445167466,0.000831427705668501,0.0101131239677524,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g2970.t1a",19.7671192523778,6.00603169422071,2.0398870284913,2.94429623323933,0.00323690015183685,0.0266577962384619,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g30129.t1",182.086190405138,-1.03597606762137,0.302733317026346,-3.42207484064667,0.000621452051993922,0.00820447936331558,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g35627.t1",411.946346824364,1.207035683255,0.241540867232127,4.99723171936368,5.81591677033613e-07,3.88992131300047e-05,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g45415.t1",1952.60725660336,1.21046612653545,0.235013047757566,5.1506337119807,2.5960776891351e-07,2.03539908193018e-05,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g1134.t1b",41.7225795305043,2.01054306846568,0.603489707655908,3.33152834747602,0.00086370502956685,0.0104088404551357,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g26226.t1",136.782454138629,2.81480450896406,0.830137862783,3.39076752809173,0.000696971934959008,0.00893046140011465,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g12821.t1",77.8410076596138,-1.44667633920864,0.427882642216619,-3.38101197962652,0.000722193941908615,0.00916705345292586,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g34380.t2",1721.30697510864,1.24841850084228,0.282678828887117,4.41638486248581,1.00365321425839e-05,0.000348623390537526,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g46457.t1",79.595958740503,-1.54775226171271,0.392354765327323,-3.94477752913615,7.98740986848505e-05,0.0017241687756105,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g14984.t1",6.925970809993,5.30593358887227,1.79733259998935,2.95211559001584,0.00315604763049538,0.0261567813435288,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g524.t1",139.925211652812,-1.45583726797509,0.376310540751958,-3.86871243379465,0.000109411588045021,0.00219150612229447,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g20774.t1",679.959955551939,1.03172734643963,0.252687623781258,4.0830149534065,4.44551612611633e-05,0.00108472779185989,"Up at 4 hpf"
"Montipora_capitata_HIv3___TS.g16289.t1",20.4877096021177,4.58311524656944,1.56385869245774,2.93064537651204,0.0033825868009819,0.0275108371089936,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g7961.t1",26.0841249870182,4.03774819517897,1.3610774655782,2.96658220953185,0.00301129844187039,0.0252855081222048,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g28455.t1",69.8454064188687,-1.41955683922276,0.455545373116186,-3.11617003046743,0.00183216597956516,0.0179111031867643,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g35211.t1",310.410773881876,-1.80810460119627,0.56978311969131,-3.17332075786283,0.00150705925076238,0.0156112238524378,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g49458.t1",46.8294858556883,3.99602201979426,1.24515003704866,3.20926948632303,0.00133072703180277,0.0143089657052115,"Up at 4 hpf"
"Montipora_capitata_HIv3___TS.g19001.t2",1130.45809572487,1.00340501073189,0.187681806312526,5.34630942895458,8.9765698213297e-08,8.73496639954285e-06,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g2455.t1a",10.8414292179563,4.09544098702225,1.51719143808605,2.69935677477108,0.00694736526942962,0.0453803023942914,"Up at 4 hpf"
"Montipora_capitata_HIv3___TS.g40074.t1",32.2861452772502,6.26155537441256,2.29514220232333,2.7281775255904,0.00636853241761635,0.0425514726252277,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g178.t1",18.3828680222712,5.64722234832295,1.71805125305551,3.2869929452218,0.00101263370560542,0.0117869760820261,"Up at 4 hpf"
"Montipora_capitata_HIv3___TS.g26970.t1",96.6926369348935,-1.57398713489146,0.466281479436802,-3.37561581213262,0.00073650686939388,0.00928364033212561,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g5532.t1",28.0229854180242,2.06170213132018,0.767514226257597,2.68620705752003,0.00722682885385556,0.0465847804976863,"Up at 4 hpf"
"Montipora_capitata_HIv3___TS.g8377.t1",17.3164143785319,6.13938494093906,1.50857775219801,4.06965098881641,4.70836176816937e-05,0.00113434728077555,"Up at 4 hpf"
"Montipora_capitata_HIv3___RNAseq.g12966.t1",33.3624306841715,3.7790559786575,1.10029693061458,3.4345783156431,0.000593476555126613,0.00793644744114493,"Up at 4 hpf"
