"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"Montipora_capitata_HIv3___TS.g3629.t1",6.99539240770608,7.81147644591389,1.97399534318458,26.2799761800634,0.000448815152722693,0.000678837578118828,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g42797.t1",1124.64259840596,2.53002536254927,0.258977332724432,207.727295141099,2.64637546356394e-41,2.05236736443605e-40,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g25686.t1",18.7678485509041,3.71085957793833,0.730350296739049,69.525061180434,1.84272804866346e-12,5.07961846299973e-12,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g34486.t1",19.6347001842803,6.45166484384556,1.02686658463188,82.4505691822584,4.35413276335384e-15,1.36444790627921e-14,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g33820.t1",30.7062230551316,2.14059883706128,0.822635882469098,43.4486547251793,2.73207387607938e-07,5.51124595176717e-07,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g42133.t1",97.8796764832844,2.91068477351324,0.696145745302849,158.105757096901,8.03091103968545e-31,4.51556647941557e-30,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g32673.t1",23.3541525002179,2.19623026408569,1.24837279220418,17.7444404075925,0.0131778105028528,0.0166736957018249,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g7321.t1",612.669745197496,-2.30898972453656,0.174981027601007,617.995617782735,3.24179473784674e-129,2.27058108838078e-127,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g6040.t1",7.15270035552283,8.06034949838591,2.26831150232791,17.4044557155369,0.0149663157610209,0.018800325170462,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g13175.t1",23.3949432152914,2.06497109944523,0.668516918767187,18.3824733432011,0.0103585161207806,0.01328591293794,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.23725_t",298.80589415596,-3.11882755027515,0.294474905877309,217.817029566891,1.9173559467166e-43,1.5799208206867e-42,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g16609.t1",733.333631868829,6.37197543949025,0.31680902653885,600.590589560441,1.81687136732577e-125,1.16603922973064e-123,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g29774.t1",27.6639353507475,8.51072542583739,1.16958060162386,142.817522309225,1.30504848987514e-27,6.62459892848294e-27,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g37215.t1",74.7886182437447,6.74025554318499,2.05754844768394,19.7403979959835,0.0061585762322834,0.00813355251926576,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g38077.t1",213.54417654554,6.49367895037009,0.683014792708047,274.766312169304,1.4669925158395e-55,1.64146547365651e-54,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g41570.t1",25.3825186736466,9.2779451505936,1.24211455469239,103.853942541493,1.72310489789408e-19,6.49328859414636e-19,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g12732.t1",639.498529749387,1.65123719863825,0.150122666106608,431.53120548464,4.09832515588525e-89,1.10567500062063e-87,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g26812.t1",198.816587174432,-1.93194025561891,0.339843845937283,85.3283928010609,1.1229036958217e-15,3.60489697941349e-15,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g20767.t1",1541.9627693771,1.81922259924754,0.260542578048554,279.449706143518,1.47115808112385e-56,1.67901030198612e-55,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g40527.t1",12.8503475708415,2.1517380339827,1.30902540324911,23.2082230918519,0.00156793162808969,0.00222581358575636,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g18226.t1",4.26464722935817,6.73915202428796,1.72292169625829,33.0360581415834,2.60700648575659e-05,4.44967183969831e-05,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g16748.t1",13.105318130783,7.73913059454967,1.23482339108858,68.7114988593591,2.68979070285069e-12,7.36098729303659e-12,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g18326.t1",18.3791414306655,-1.35975713379254,0.68019950427933,22.455558612823,0.00211925396711799,0.00296384289334342,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g46459.t1",5.79546554114377,6.70527290749378,1.39555605364439,38.5458724125023,2.38557992561599e-06,4.46512766060725e-06,"Up at 22 hpf"
