#,"Date Time, GMT-10:00","Temp, °C",Coupler Detached (LGR S/N: 20987156),Coupler Attached (LGR S/N: 20987156),Host Connected (LGR S/N: 20987156),Stopped (LGR S/N: 20987156),End Of File (LGR S/N: 20987156)
1,6/17/23 17:00,27.136,Logged,,,,
2,6/17/23 17:10,27.554,,,,,
3,6/17/23 17:20,27.727,,,,,
4,6/17/23 17:30,27.776,,,,,
5,6/17/23 17:40,27.949,,,,,
6,6/17/23 17:50,27.949,,,,,
7,6/17/23 18:00,27.924,,,,,
8,6/17/23 18:10,27.899,,,,,
9,6/17/23 18:20,28.023,,,,,
10,6/17/23 18:30,27.998,,,,,
11,6/17/23 18:40,28.023,,,,,
12,6/17/23 18:50,28.023,,,,,
13,6/17/23 19:00,28.023,,,,,
14,6/17/23 19:10,28.023,,,,,
15,6/17/23 19:20,28.072,,,,,
16,6/17/23 19:30,27.998,,,,,
17,6/17/23 19:40,28.048,,,,,
18,6/17/23 19:50,28.023,,,,,
19,6/17/23 20:00,27.604,,,,,
20,6/17/23 20:10,28.27,,,,,
21,6/17/23 20:20,28.617,,,,,
22,6/17/23 20:30,28.493,,,,,
23,6/17/23 20:40,28.766,,,,,
24,6/17/23 20:50,28.916,,,,,
25,6/17/23 21:00,28.866,,,,,
26,6/17/23 21:10,29.165,,,,,
27,6/17/23 21:20,29.165,,,,,
28,6/17/23 21:30,29.115,,,,,
29,6/17/23 21:40,29.24,,,,,
30,6/17/23 21:50,29.34,,,,,
31,6/17/23 22:00,29.265,,,,,
32,6/17/23 22:10,29.19,,,,,
33,6/17/23 22:20,29.414,,,,,
34,6/17/23 22:30,29.34,,,,,
35,6/17/23 22:40,29.29,,,,,
36,6/17/23 22:50,29.315,,,,,
37,6/17/23 23:00,29.439,,,,,
38,6/17/23 23:10,29.14,,,,,
39,6/17/23 23:20,29.29,,,,,
40,6/17/23 23:30,29.389,,,,,
41,6/17/23 23:40,29.565,,,,,
42,6/17/23 23:50,29.065,,,,,
43,6/18/23 0:00,28.468,,,,,
44,6/18/23 0:10,28.444,,,,,
45,6/18/23 0:20,28.345,,,,,
46,6/18/23 0:30,28.419,,,,,
47,6/18/23 0:40,28.816,,,,,
48,6/18/23 0:50,29.34,,,,,
49,6/18/23 1:00,29.69,,,,,
50,6/18/23 1:10,29.615,,,,,
51,6/18/23 1:20,29.49,,,,,
52,6/18/23 1:30,29.69,,,,,
53,6/18/23 1:40,29.14,,,,,
54,6/18/23 1:50,29.265,,,,,
55,6/18/23 2:00,29.165,,,,,
56,6/18/23 2:10,29.34,,,,,
57,6/18/23 2:20,29.265,,,,,
58,6/18/23 2:30,31.204,,,,,
