"","MEpink","MEblue","MEmagenta","MEred","MEdarkgreen","MEdarkorange","MEorange","MEblack","MEcyan","MEpaleturquoise","MEdarkturquoise","MEskyblue","MEmidnightblue","MEgreen","MElightgreen","MElightyellow","MEsaddlebrown"
"M6",-0.150194666929875,-0.183962989039071,-0.236087723758819,-0.224328367728871,0.0162378634183316,0.100584903931193,0.116123774298914,0.207602897697202,0.204408660821402,-0.100427926446208,-0.0732752672270402,0.0481293173178304,0.180828938215007,0.200964931635453,0.115279925425371,-0.0012695062517876,-0.155237409516498
"M7",-0.154752596578317,-0.175796554336402,-0.23310908281385,-0.221076503828709,0.0225393746997727,0.108936379352027,0.097139758983155,0.202757905084239,0.195886768352155,-0.0372650573188281,-0.0450373995953217,0.0505315589068647,0.175546628535676,0.195101077510198,0.125469955776999,0.00855011476531618,-0.15374313102549
"M8",-0.148776906602001,-0.182044750468328,-0.233307694283449,-0.225190894913589,0.0134097331540135,0.120983311947822,0.110473734993088,0.210671886848422,0.19345759551254,-0.0343852523567357,-0.0506137790355645,0.0734656459414039,0.170697551736617,0.199607791139006,0.119590543421478,-0.00481301864147753,-0.151766673320082
"M9",-0.147687735566354,-0.16421136464993,-0.229961210220192,-0.228051426637998,0.0331472139054312,0.130972355699091,0.105042863745667,0.220452679513993,0.193711192212447,-0.0336743031077011,-0.0553781105013487,0.0714212872682607,0.157946059185926,0.203205860924408,0.114320881559448,-0.0113655830641651,-0.143398907876966
"M10",-0.178715814510613,-0.16031598394319,-0.273619712680387,-0.310138127654564,0.159631392558473,0.389439361876787,0.160672084273872,0.313367553144524,0.115809156802216,0.436840962719996,0.0506128260945825,0.292220128441122,-0.146827544745553,0.171514305818413,0.0531304777371368,-0.228828548430202,-0.178808411434567
"M11",-0.160560230922004,-0.070476719324356,-0.265534326947586,-0.31348453762863,0.208200584179782,0.467656356997687,0.152003645303897,0.324967122286747,0.110396793214735,0.688046141257947,0.161849590998007,0.421244848447093,-0.232755228376948,0.160708620653853,0.0516223386388618,-0.29526213293143,-0.173284190351666
"M13",-0.152785036216288,-0.178631251649104,-0.238551815098371,-0.258418451810266,0.0962528275774185,0.252626124879421,0.128380715389249,0.264105448631312,0.167958277004298,0.15252162340751,-0.0332226459711905,0.129305914487066,0.0174741740147974,0.187307483224138,0.0679717905295129,-0.118518348411733,-0.159761102060404
"M14",0.222603268269536,-0.0345855171889907,0.0188989933019962,-0.09631451598487,0.15519135616831,0.0682250973681291,0.179927761208245,0.014884066030873,0.00891859611277157,-0.0168987167638763,-0.235195006121221,-0.127300953299751,-0.142008269315422,-0.075347516882454,-0.201481776113423,-0.239049780423198,-0.155769865787003
"M23",-0.152117490518518,-0.138336691507275,-0.193819664783723,-0.131117682309416,-0.0402765299315199,0.0243566151834277,0.075347133485282,0.175757335191029,0.212175694003148,-0.176557343609897,-0.0634475175303904,0.000775525020076689,0.243516636708146,0.206026564531881,0.146097129479553,0.0887724318870732,0.271043507787884
"M24",-0.161372429306029,-0.160298110604679,-0.210230766407842,-0.152957936322664,-0.00938722960744672,0.113068185961039,0.0981450063732568,0.21092347249175,0.204934379933984,-0.013792737444108,-0.0262597779641983,0.0925740587784822,0.180681006418772,0.205448918817337,0.1302524766756,0.0287139324836885,0.257446676058354
