Well,x562,Run
A1,2.225,1
B1,2.124,1
C1,1.503,1
D1,1.787,1
E1,1.121,1
F1,1.26,1
G1,0.88,1
H1,0.929,1
A2,0.633,1
B2,0.636,1
C2,0.363,1
D2,0.378,1
E2,0.223,1
F2,0.24,1
G2,0.108,1
H2,0.104,1
A3,0.084,1
B3,0.086,1
C3,0.346,1
D3,0.331,1
E3,0.662,1
F3,0.715,1
G3,0.981,1
H3,0.997,1
A4,0.187,1
B4,0.182,1
C4,0.196,1
D4,0.197,1
E4,1.135,1
F4,1.177,1
G4,0.257,1
H4,0.277,1
A5,0.217,1
B5,0.227,1
C5,0.342,1
D5,0.327,1
E5,0.529,1
F5,0.529,1
G5,0.576,1
H5,0.597,1
A6,0.929,1
B6,0.913,1
C6,0.483,1
D6,0.486,1
E6,0.487,1
F6,0.491,1
G6,0.828,1
H6,0.861,1
A7,0.68,1
B7,0.652,1
C7,0.261,1
D7,0.27,1
E7,0.271,1
F7,0.269,1
G7,0.523,1
H7,0.553,1
A8,0.605,1
B8,0.605,1
C8,0.871,1
D8,0.886,1
E8,0.505,1
F8,0.502,1
G8,0.358,1
H8,0.363,1
A9,0.253,1
B9,0.238,1
C9,0.327,1
D9,0.335,1
E9,0.84,1
F9,0.873,1
G9,0.309,1
H9,0.31,1
A10,0.606,1
B10,0.622,1
C10,1.543,1
D10,1.587,1
E10,0.501,1
F10,0.504,1
G10,0.908,1
H10,0.915,1
A11,0.428,1
B11,0.45,1
C11,0.286,1
D11,0.302,1
E11,0.238,1
F11,0.233,1
G11,0.691,1
H11,0.727,1
A12,0.577,1
B12,0.507,1
C12,0.225,1
D12,0.227,1
E12,0.622,1
F12,0.672,1
G12,0.588,1
H12,0.667,1
A1,2.057,2
B1,2.052,2
C1,1.761,2
D1,1.86,2
E1,1.215,2
F1,1.168,2
G1,0.915,2
H1,1.078,2
A2,0.937,2
B2,0.724,2
C2,0.396,2
D2,0.392,2
E2,0.231,2
F2,0.237,2
G2,0.102,2
H2,0.102,2
A3,0.082,2
B3,0.085,2
C3,0.358,2
D3,0.368,2
E3,0.631,2
F3,0.658,2
G3,0.259,2
H3,0.275,2
A4,0.529,2
B4,0.522,2
C4,0.437,2
D4,0.446,2
E4,1.059,2
F4,1.101,2
G4,0.967,2
H4,0.981,2
A5,0.592,2
B5,0.57,2
C5,0.978,2
D5,1.037,2
E5,0.772,2
F5,0.785,2
G5,0.958,2
H5,1,2
A6,0.368,2
B6,0.33,2
C6,0.416,2
D6,0.464,2
E6,0.778,2
F6,0.787,2
G6,0.604,2
H6,0.599,2
A7,0.277,2
B7,0.218,2
C7,0.456,2
D7,0.466,2
E7,1.065,2
F7,1.07,2
G7,0.755,2
H7,0.76,2
A8,1.204,2
B8,1.209,2
C8,0.457,2
D8,0.456,2
E8,0.265,2
F8,0.256,2
G8,0.594,2
H8,0.625,2
A9,0.717,2
B9,0.508,2
C9,1.016,2
D9,1.022,2
E9,1.1,2
F9,1.145,2
G9,0.978,2
H9,1.007,2
A10,0.635,2
B10,0.623,2
C10,0.492,2
D10,0.48,2
E10,0.545,2
F10,0.573,2
G10,0.298,2
H10,0.29,2
A11,0.933,2
B11,0.993,2
C11,0.389,2
D11,0.391,2
E11,0.378,2
F11,0.361,2
G11,1.588,2
H11,1.567,2
A12,0.436,2
B12,0.427,2
C12,0.352,2
D12,0.308,2
E12,0.356,2
F12,0.358,2
G12,0.424,2
H12,0.427,2
A1,2.032,3
B1,2.757,3
C1,1.629,3
D1,1.96,3
E1,1.16,3
F1,1.313,3
G1,0.893,3
H1,1.01,3
A2,0.648,3
B2,0.641,3
C2,0.358,3
D2,0.375,3
E2,0.229,3
F2,0.234,3
G2,0.1,3
H2,0.101,3
A3,0.081,3
B3,0.083,3
C3,0.585,3
D3,0.584,3
E3,1.769,3
F3,1.869,3
G3,0.212,3
H3,0.221,3
A4,0.2,3
B4,0.2,3
C4,0.295,3
